file	line	id	code	value	classification	resolution
		poll-choice	stale-entry		violation	Add concrete dynamic caller evidence for poll-choice.
server/frontend-contracts/components/controls.md		action-menu-entry	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		action-menu-trigger	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		admin-controls	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		admin-test-fields	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		arcade-mute	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		arcade-segment	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		arcade-tile	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		arcade-toolbar-buttons	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		arrival-controls	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		arrival-sort-mobile	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		battleship-grid	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		battleship-ship-display	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		bracket-row	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		button	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		button-meaning	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		button-small	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		button-square	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		button-width	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		calendar-days	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		challenge-targets	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		challenge-test-disclosure	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		data-row-action	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		data-row-action-label	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
server/frontend-contracts/components/controls.md		data-row-name	contract-reference-count	0	violation	Add the unique explicit ownership reference in the declared contract anchor.
