file	line	selector	callKey	property	value	code	initialClassification	classification	registryId	contract	owner	resolution
server/public/css/arcade.css	400	.arcade-lobby-free-row .btn		padding-top	var(--space-1)	css-ownership	violation	violation	button	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual vertical padding; retain only the separately registered layout width.
server/public/css/arcade.css	401	.arcade-lobby-free-row .btn		padding-bottom	var(--space-1)	css-ownership	violation	violation	button	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual vertical padding; retain only the separately registered layout width.
server/public/css/arcade.css	425	.arcade-lobby-target-score input		height	var(--space-7)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	425	.arcade-lobby-target-score select		height	var(--space-7)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	426	.arcade-lobby-target-score input		padding-top	var(--space-1)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	426	.arcade-lobby-target-score select		padding-top	var(--space-1)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	427	.arcade-lobby-target-score input		padding-bottom	var(--space-1)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/arcade.css	427	.arcade-lobby-target-score select		padding-bottom	var(--space-1)	css-ownership	violation	violation	native-fields	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual fixed height and vertical padding; native fields inherit their owner geometry.
server/public/css/style.css	858	.event-poll-option-link		padding	0	css-ownership	violation	violation	poll-option-link	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/style.css	Remove the attachment-owned padding and enforce its empty protected-property allowance; icon-button owns the complete interior.
server/public/css/style.css	861	.event-poll-option-title-row .info-tooltip-trigger		width	24px	css-ownership	violation	violation	info-trigger	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual 24px control / 17px glyph override; restore the registered control and icon owners.
server/public/css/style.css	862	.event-poll-option-title-row .info-tooltip-trigger		height	24px	css-ownership	violation	violation	info-trigger	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual 24px control / 17px glyph override; restore the registered control and icon owners.
server/public/css/style.css	863	.event-poll-option-title-row .info-tooltip-trigger		padding	0	css-ownership	violation	violation	info-trigger	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual 24px control / 17px glyph override; restore the registered control and icon owners.
server/public/css/style.css	867	.event-poll-option-title-row .event-poll-option-link .ui-icon		width	17px	internal-icon	violation	violation	icon-button-glyph	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/style.css	Remove contextual 24px control / 17px glyph override; restore the registered control and icon owners.
server/public/css/style.css	867	.event-poll-option-title-row .info-tooltip-trigger .ui-icon		width	17px	internal-icon	violation	violation	info-trigger	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual 24px control / 17px glyph override; restore the registered control and icon owners.
server/public/css/style.css	868	.event-poll-option-title-row .event-poll-option-link .ui-icon		height	17px	internal-icon	violation	violation	icon-button-glyph	components/controls.md#11-permanente-varianten-und-befristete-ausnahmen	public/css/style.css	Remove contextual 24px control / 17px glyph override; restore the registered control and icon owners.
server/public/css/style.css	868	.event-poll-option-title-row .info-tooltip-trigger .ui-icon		height	17px	internal-icon	violation	violation	info-trigger	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual 24px control / 17px glyph override; restore the registered control and icon owners.
server/public/css/style.css	3594	.arrivals-free-seat-row .btn		padding-top	var(--space-1)	css-ownership	violation	violation	button	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual vertical padding; retain only the separately registered layout width.
server/public/css/style.css	3595	.arrivals-free-seat-row .btn		padding-bottom	var(--space-1)	css-ownership	violation	violation	button	components/controls.md#tokens-und-einzeilige-controls	public/css/style.css	Remove contextual vertical padding; retain only the separately registered layout width.
